Frame,Front_DL_FPS,Back_DL_FPS,Power_W,GPU_Load_%,Temp_GPU_C,Temp_CPU_C,Temp_TJ_C,RAM_MB,CPU1_Load_%,CPU2_Load_%,CPU3_Load_%,CPU4_Load_%,CPU5_Load_%,CPU6_Load_%
0,1.2709014656122444,15.525144172755606,6930,4.4,50.875,51.843,51.843,0.7197903226715918,13,9,38,18,80,4
1,15.52928283164871,15.422560018238043,6930,4.4,50.875,51.843,51.843,0.7197903226715918,13,9,38,18,80,4
2,15.531410500901675,15.543612720083308,6930,4.4,50.875,51.843,51.843,0.7197903226715918,13,9,38,18,80,4
3,15.544822474242087,15.562125259720986,6930,4.4,50.875,51.843,51.843,0.7197903226715918,13,9,38,18,80,4
4,15.54493769874508,15.406980759199806,6930,4.4,50.875,51.843,51.843,0.7197903226715918,13,9,38,18,80,4
5,15.569866288522789,15.564492966056724,9657,78.3,52.156,51.656,52.156,0.7299994310047073,2,4,64,3,6,0
6,15.538948288764903,15.566399204293253,9657,78.3,52.156,51.656,52.156,0.7299994310047073,2,4,64,3,6,0
7,15.567034720804648,15.580739827190396,9657,78.3,52.156,51.656,52.156,0.7299994310047073,2,4,64,3,6,0
8,15.540905857244487,15.562760427295563,9657,78.3,52.156,51.656,52.156,0.7299994310047073,2,4,64,3,6,0
9,15.548683425207505,15.557795953189043,9535,,51.593,51.875,51.906,0.7302900799515277,4,4,64,1,1,3
10,15.563106904190306,15.56836369575223,9535,,51.593,51.875,51.906,0.7302900799515277,4,4,64,1,1,3
11,15.547761232758397,15.549144562457135,9535,,51.593,51.875,51.906,0.7302900799515277,4,4,64,1,1,3
12,15.527328190016437,15.5318706141569,9535,,51.593,51.875,51.906,0.7302900799515277,4,4,64,1,1,3
13,15.42448836995495,15.539178565342066,9535,58.9,52.281,51.937,52.281,0.7300917005116344,4,2,68,4,1,0
14,15.522673525656446,15.531007924165001,9535,58.9,52.281,51.937,52.281,0.7300917005116344,4,2,68,4,1,0
15,15.475194993985994,15.551854296286958,9535,58.9,52.281,51.937,52.281,0.7300917005116344,4,2,68,4,1,0
16,15.559123351089875,15.579061535432924,9535,58.9,52.281,51.937,52.281,0.7300917005116344,4,2,68,4,1,0
17,15.566168120244944,15.458141840469091,9535,58.9,52.281,51.937,52.281,0.7300917005116344,4,2,68,4,1,0
18,15.550528138335538,15.529512821841932,10022,94.0,52.531,52.312,52.531,0.7302844412594378,5,4,5,64,4,1
19,15.575648195598731,15.494632315455828,10022,94.0,52.531,52.312,52.531,0.7302844412594378,5,4,5,64,4,1
20,15.543843134929606,15.523362929461532,10022,94.0,52.531,52.312,52.531,0.7302844412594378,5,4,5,64,4,1
21,15.537797008246216,15.571831655231815,10022,94.0,52.531,52.312,52.531,0.7302844412594378,5,4,5,64,4,1
22,15.515381086959739,15.591454688063402,9454,,52.125,52.156,52.156,0.7304120807440203,4,3,2,65,2,1
23,15.559527386715635,15.556988082742045,9454,,52.125,52.156,52.156,0.7304120807440203,4,3,2,65,2,1
24,15.52560391480415,15.569750694166036,9454,,52.125,52.156,52.156,0.7304120807440203,4,3,2,65,2,1
25,15.55191196045933,15.550585792673884,9454,,52.125,52.156,52.156,0.7304120807440203,4,3,2,65,2,1
26,15.484564551260753,15.517562358024966,9778,99.5,52.75,52.281,52.562,0.730477694615613,2,3,3,66,2,0
27,15.54534099795783,15.566514748890308,9778,99.5,52.75,52.281,52.562,0.730477694615613,2,3,3,66,2,0
28,15.554334241901689,15.542000007411003,9778,99.5,52.75,52.281,52.562,0.730477694615613,2,3,3,66,2,0
29,15.537969689448357,15.555026460913133,9778,99.5,52.75,52.281,52.562,0.730477694615613,2,3,3,66,2,0
30,15.537912128621175,15.517390130116132,9778,99.5,52.75,52.281,52.562,0.730477694615613,2,3,3,66,2,0
31,15.525144172755606,15.563857657055921,9941,99.5,52.593,52.625,52.75,0.7302193399962169,3,2,2,62,2,3
32,15.530950414906261,15.537624330882217,9941,99.5,52.593,52.625,52.75,0.7302193399962169,3,2,2,62,2,3
33,15.533711339824379,15.578945804501002,9941,99.5,52.593,52.625,52.75,0.7302193399962169,3,2,2,62,2,3
34,15.55145065905341,15.550355177885542,9941,99.5,52.593,52.625,52.75,0.7302193399962169,3,2,2,62,2,3
35,15.453016140857628,15.551508320232552,9387,,52.281,52.562,52.562,0.7301501378660216,2,7,1,66,0,2
36,15.526293578932561,15.541193776562436,9387,,52.281,52.562,52.562,0.7301501378660216,2,7,1,66,0,2
37,15.520892849213281,15.55410351592196,9387,,52.281,52.562,52.562,0.7301501378660216,2,7,1,66,0,2
38,15.554680343706076,15.574780635794149,9387,,52.281,52.562,52.562,0.7301501378660216,2,7,1,66,0,2
39,15.574722801910124,15.45358549516788,10022,94.6,53.187,52.625,53.187,0.730149112649278,4,2,3,64,7,2
40,15.541596881530777,15.556814978561786,10022,94.6,53.187,52.625,53.187,0.730149112649278,4,2,3,64,7,2
41,15.547184918025495,15.556411083788605,10022,94.6,53.187,52.625,53.187,0.730149112649278,4,2,3,64,7,2
