Frame,Front_DL_FPS,Back_DL_FPS,Power_W,GPU_Load_%,Temp_GPU_C,Temp_CPU_C,Temp_TJ_C,RAM_MB,CPU1_Load_%,CPU2_Load_%,CPU3_Load_%,CPU4_Load_%,CPU5_Load_%,CPU6_Load_%
0,1.2013601825797642,10.786931116780512,6685,40.1,51.281,51.625,51.906,0.7085170393585833,32,7,27,8,7,81
1,10.305237993449744,14.976501380066344,6685,40.1,51.281,51.625,51.906,0.7085170393585833,32,7,27,8,7,81
2,10.460967507008391,12.011833404452132,6685,40.1,51.281,51.625,51.906,0.7085170393585833,32,7,27,8,7,81
3,12.049273763559478,14.997493447564425,8262,99.6,51.687,51.812,51.968,0.7287240613756256,5,3,5,5,2,66
4,12.603342017410222,13.7070101994464,8262,99.6,51.687,51.812,51.968,0.7287240613756256,5,3,5,5,2,66
5,11.596245455425152,15.096330209188155,8262,99.6,51.687,51.812,51.968,0.7287240613756256,5,3,5,5,2,66
6,13.553009299650375,15.111396135596395,8262,99.6,51.687,51.812,51.968,0.7287240613756256,5,3,5,5,2,66
7,13.491062899049519,15.120602761454991,8371,,51.468,51.906,51.937,0.729202837594903,2,4,4,15,20,32
8,13.39066361030055,15.2306915772464,8371,,51.468,51.906,51.937,0.729202837594903,2,4,4,15,20,32
9,13.889343665143388,15.110851716149858,8371,,51.468,51.906,51.937,0.729202837594903,2,4,4,15,20,32
10,13.357570970885536,15.245029550097046,8371,,51.468,51.906,51.937,0.729202837594903,2,4,4,15,20,32
11,13.97807793696657,15.133041326011503,8737,,51.843,52.187,52.5,0.728408294618586,5,17,4,54,5,1
12,13.633894382358486,15.259894199914138,8737,,51.843,52.187,52.5,0.728408294618586,5,17,4,54,5,1
13,13.391433169012286,15.25356763597748,8737,,51.843,52.187,52.5,0.728408294618586,5,17,4,54,5,1
14,13.68741821267153,15.240597952079533,8737,,51.843,52.187,52.5,0.728408294618586,5,17,4,54,5,1
15,13.413317044934873,15.244309240056843,8696,,51.75,52.281,52.375,0.7282729660084263,5,65,4,3,1,5
16,13.422717759330256,15.163295482070358,8696,,51.75,52.281,52.375,0.7282729660084263,5,65,4,3,1,5
17,14.177465750414916,15.177067427033052,8696,,51.75,52.281,52.375,0.7282729660084263,5,65,4,3,1,5
18,13.874365708917454,15.115643954000454,8696,,51.75,52.281,52.375,0.7282729660084263,5,65,4,3,1,5
19,13.36991890651298,15.197965055185557,8615,,51.843,52.218,52.218,0.7283375546632752,32,26,10,3,12,3
20,13.444100762546437,15.067370765527894,8615,,51.843,52.218,52.218,0.7283375546632752,32,26,10,3,12,3
21,13.3076464242655,15.049475961693714,8615,,51.843,52.218,52.218,0.7283375546632752,32,26,10,3,12,3
22,14.192769453580759,15.191414611531455,8615,,51.843,52.218,52.218,0.7283375546632752,32,26,10,3,12,3
23,13.738618310934086,15.175859324118967,8493,,51.687,52.437,52.437,0.7281099565461884,25,46,2,3,2,3
24,13.322906177835518,15.264725899021366,8493,,51.687,52.437,52.437,0.7281099565461884,25,46,2,3,2,3
25,13.917918768250598,15.11373758630133,8493,,51.687,52.437,52.437,0.7281099565461884,25,46,2,3,2,3
26,13.600251622086972,15.178550361703898,8493,,51.687,52.437,52.437,0.7281099565461884,25,46,2,3,2,3
27,13.330782212927442,15.155843827350088,8696,,52.125,52.375,52.375,0.7282058143117182,29,38,3,3,6,1
28,13.873585535999577,15.180088526002251,8696,,52.125,52.375,52.375,0.7282058143117182,29,38,3,3,6,1
29,13.662450528510236,15.221184727660702,8696,,52.125,52.375,52.375,0.7282058143117182,29,38,3,3,6,1
30,14.10167668012628,15.178220795622735,8696,,52.125,52.375,52.375,0.7282058143117182,29,38,3,3,6,1
31,13.777926693865751,15.230470352846337,8737,,52.187,52.375,52.468,0.7282053017033464,19,4,3,49,5,2
32,13.365104755835258,15.281911521449235,8737,,52.187,52.375,52.468,0.7282053017033464,19,4,3,49,5,2
33,13.848849149615504,15.159842701827435,8737,,52.187,52.375,52.468,0.7282053017033464,19,4,3,49,5,2
34,13.715616160625235,15.167188596142303,8737,,52.187,52.375,52.468,0.7282053017033464,19,4,3,49,5,2
35,13.558354237244304,15.207387774784541,8696,,52.468,52.812,52.812,0.7283683111655843,33,36,2,3,3,3
36,13.294401795279784,15.286757175398634,8696,,52.468,52.812,52.812,0.7283683111655843,33,36,2,3,3,3
37,13.654400083339844,15.128128922424365,8696,,52.468,52.812,52.812,0.7283683111655843,33,36,2,3,3,3
38,13.417479206653871,15.014136033820524,8696,,52.468,52.812,52.812,0.7283683111655843,33,36,2,3,3,3
39,13.99701658896672,15.179539145823759,8615,,52.218,52.625,52.75,0.7287358513681774,21,35,4,4,13,4
40,13.320579025260898,15.103451504294124,8615,,52.218,52.625,52.75,0.7287358513681774,21,35,4,4,13,4
41,14.003979860304232,14.915520405115148,8615,,52.218,52.625,52.75,0.7287358513681774,21,35,4,4,13,4
42,13.682729823187838,15.026238482151813,8615,,52.218,52.625,52.75,0.7287358513681774,21,35,4,4,13,4
43,13.461532783228543,15.121311428128504,8778,,52.687,52.687,52.687,0.7287717339542046,10,4,11,18,53,3
44,13.773040422946837,15.228424331762433,8778,,52.687,52.687,52.687,0.7287717339542046,10,4,11,18,53,3
45,13.363954985152237,15.163131028299567,8778,,52.687,52.687,52.687,0.7287717339542046,10,4,11,18,53,3
46,13.236211700922428,15.23074688435058,8778,,52.687,52.687,52.687,0.7287717339542046,10,4,11,18,53,3
47,13.888561806905367,15.203694440215461,8859,30.9,52.687,52.718,52.718,0.7286389683859039,18,3,4,53,2,3
48,13.504093755533734,15.21847855271656,8859,30.9,52.687,52.718,52.718,0.7286389683859039,18,3,4,53,2,3
49,13.232996169839538,15.270561336313923,8859,30.9,52.687,52.718,52.718,0.7286389683859039,18,3,4,53,2,3
50,13.947817527617604,15.347840882894289,8859,30.9,52.687,52.718,52.718,0.7286389683859039,18,3,4,53,2,3
51,13.40671437841017,15.159130419068616,8859,63.6,52.5,52.687,52.718,0.7285420854036304,4,44,3,4,11,17
52,13.875650890901753,14.975966636793077,8859,63.6,52.5,52.687,52.718,0.7285420854036304,4,44,3,4,11,17
53,13.579248630518396,15.184430027803522,8859,63.6,52.5,52.687,52.718,0.7285420854036304,4,44,3,4,11,17
54,13.307139775121197,15.211193234157061,8859,63.6,52.5,52.687,52.718,0.7285420854036304,4,44,3,4,11,17
55,13.831312428482391,15.223505072319112,8900,41.2,52.687,52.937,52.937,0.7287091957328429,6,8,10,6,6,67
56,13.472082946555616,15.179594082052173,8900,41.2,52.687,52.937,52.937,0.7287091957328429,6,8,10,6,6,67
57,14.193009586524047,15.07630703977283,8900,41.2,52.687,52.937,52.937,0.7287091957328429,6,8,10,6,6,67
58,13.80518134032868,15.200829207831084,8900,41.2,52.687,52.937,52.937,0.7287091957328429,6,8,10,6,6,67
59,13.256291857484648,15.224389199234842,8859,99.5,52.75,52.718,52.75,0.7288378604341691,4,3,5,3,3,65
60,14.149343354777335,15.063366421973539,8859,99.5,52.75,52.718,52.75,0.7288378604341691,4,3,5,3,3,65
61,13.374907125432484,15.251016297115099,8859,99.5,52.75,52.718,52.75,0.7288378604341691,4,3,5,3,3,65
62,14.092248145360713,15.194276295531525,8859,99.5,52.75,52.718,52.75,0.7288378604341691,4,3,5,3,3,65
63,13.357230661443904,15.2680598883918,9022,99.5,52.906,52.781,52.906,0.7286989435654065,3,3,49,22,1,1
64,13.43992207076436,15.181846809835271,9022,99.5,52.906,52.781,52.906,0.7286989435654065,3,3,49,22,1,1
65,14.231680668847297,15.168505030486703,9022,99.5,52.906,52.781,52.906,0.7286989435654065,3,3,49,22,1,1
66,13.536257047605831,15.081836585725434,9022,99.5,52.906,52.781,52.906,0.7286989435654065,3,3,49,22,1,1
67,13.275886735837231,15.144297289100074,8940,99.4,53.093,53.125,53.125,0.7287276496342283,51,5,3,21,0,1
68,14.236801194799906,15.112212838324734,8940,99.4,53.093,53.125,53.125,0.7287276496342283,51,5,3,21,0,1
69,13.673050655730757,15.189159043666573,8940,99.4,53.093,53.125,53.125,0.7287276496342283,51,5,3,21,0,1
70,13.986561335996612,15.199782565366286,8940,99.4,53.093,53.125,53.125,0.7287276496342283,51,5,3,21,0,1
71,13.252103468867396,15.31986763191152,9144,99.5,53.031,53.125,53.125,0.7287276496342283,6,2,4,63,3,1
72,13.922862178965852,15.16932791800332,9144,99.5,53.031,53.125,53.125,0.7287276496342283,6,2,4,63,3,1
73,13.777293092801115,15.180143466207266,9144,99.5,53.031,53.125,53.125,0.7287276496342283,6,2,4,63,3,1
74,13.278954983362935,15.141837033079304,9144,99.5,53.031,53.125,53.125,0.7287276496342283,6,2,4,63,3,1
75,13.965883626071756,15.06352871883092,9144,99.5,53.125,52.968,53.125,0.7287599439616528,20,4,4,48,2,1
76,13.463304401417492,15.28458460574169,9144,99.5,53.125,52.968,53.125,0.7287599439616528,20,4,4,48,2,1
77,14.16965872313399,15.225494502303262,9144,99.5,53.125,52.968,53.125,0.7287599439616528,20,4,4,48,2,1
78,13.716019830213606,15.278460171059725,9144,99.5,53.125,52.968,53.125,0.7287599439616528,20,4,4,48,2,1
79,13.359400431266502,15.14391453009969,9144,99.5,53.125,52.968,53.125,0.7287599439616528,20,4,4,48,2,1
80,13.999632845017207,15.154310572201767,9144,72.2,53.593,53.156,53.156,0.7287599439616528,51,20,3,2,0,0
81,13.559099358300871,15.267726423919889,9144,72.2,53.593,53.156,53.156,0.7287599439616528,51,20,3,2,0,0
82,13.99402777916796,15.380427129781742,9144,72.2,53.593,53.156,53.156,0.7287599439616528,51,20,3,2,0,0
83,13.421343317013855,15.205568445475638,9144,72.2,53.593,53.156,53.156,0.7287599439616528,51,20,3,2,0,0
84,13.331163547599674,15.30315490676114,9306,96.8,53.375,53.156,53.375,0.7287276496342283,21,48,6,2,4,0
85,13.786757914320557,15.293111306383336,9306,96.8,53.375,53.156,53.375,0.7287276496342283,21,48,6,2,4,0
86,13.374480636469444,15.231631852648093,9306,96.8,53.375,53.156,53.375,0.7287276496342283,21,48,6,2,4,0
87,13.227570895145828,15.194496469727323,9306,96.8,53.375,53.156,53.375,0.7287276496342283,21,48,6,2,4,0
88,13.510966798416426,15.208214886581192,9265,80.1,53.25,53.187,53.375,0.7288875834462353,4,4,8,3,49,19
89,14.192241189706802,15.162089570583195,9265,80.1,53.25,53.187,53.375,0.7288875834462353,4,4,8,3,49,19
90,13.859969598836825,15.263614892773052,9265,80.1,53.25,53.187,53.375,0.7288875834462353,4,4,8,3,49,19
91,13.47493952137554,15.325801312500914,9265,80.1,53.25,53.187,53.375,0.7288875834462353,4,4,8,3,49,19
92,14.049575260605087,15.202922925245026,9306,96.9,53.406,53.156,53.406,0.7288865582294917,6,3,3,51,18,0
93,13.685140593697591,15.22964081857925,9306,96.9,53.406,53.156,53.406,0.7288865582294917,6,3,3,51,18,0
94,13.44595400368022,15.332356091373342,9306,96.9,53.406,53.156,53.406,0.7288865582294917,6,3,3,51,18,0
95,13.750644207379043,15.33129125880005,9306,96.9,53.406,53.156,53.406,0.7288865582294917,6,3,3,51,18,0
96,13.278954983362935,15.307287770020475,9225,99.5,53.437,53.093,53.437,0.7288865582294917,19,18,24,14,0,1
97,13.87271368185697,15.335831837277922,9225,99.5,53.437,53.093,53.437,0.7288865582294917,19,18,24,14,0,1
98,13.396223522497891,15.353515238924965,9225,99.5,53.437,53.093,53.437,0.7288865582294917,19,18,24,14,0,1
99,13.244445567190006,15.325129344362924,9225,99.5,53.437,53.093,53.437,0.7288865582294917,19,18,24,14,0,1
100,13.561992957587085,15.300866037749616,9144,99.5,53.343,53.468,53.468,0.7287189352919075,6,4,66,3,2,0
101,13.999118860392775,15.096384544783774,9144,99.5,53.343,53.468,53.468,0.7287189352919075,6,4,66,3,2,0
102,13.175589544479314,15.317629701046666,9144,99.5,53.343,53.468,53.468,0.7287189352919075,6,4,66,3,2,0
103,13.572174205677637,15.353009432960823,9144,99.5,53.343,53.468,53.468,0.7287189352919075,6,4,66,3,2,0
104,14.129324139046188,15.208876640800638,9103,99.5,53.093,53.406,53.406,0.7286866409644829,7,6,48,20,2,2
105,13.68880301823736,15.3246254069281,9103,99.5,53.093,53.406,53.406,0.7286866409644829,7,6,48,20,2,2
106,14.076829620282053,15.124037688360671,9103,99.5,53.093,53.406,53.406,0.7286866409644829,7,6,48,20,2,2
107,13.833319591164996,15.31953190059462,9103,99.5,53.093,53.406,53.406,0.7286866409644829,7,6,48,20,2,2
108,14.203006322148514,15.24708003591565,8940,34.9,53.343,53.468,53.468,0.7286856157477393,7,3,4,66,1,0
109,13.755830389851464,15.342900307640532,8940,34.9,53.343,53.468,53.468,0.7286856157477393,7,3,4,66,1,0
110,13.441386471138685,15.325689313719042,8940,34.9,53.343,53.468,53.468,0.7286856157477393,7,3,4,66,1,0
111,13.949765857811835,15.217705536608374,8940,34.9,53.343,53.468,53.468,0.7286856157477393,7,3,4,66,1,0
112,13.313348886666985,15.236002891506743,8818,,53.156,53.593,53.593,0.7284272611283433,6,4,3,65,2,2
113,13.962396804260985,15.262892825431944,8818,,53.156,53.593,53.593,0.7284272611283433,6,4,3,65,2,2
114,13.673674704883242,15.29489587169847,8818,,53.156,53.593,53.593,0.7284272611283433,6,4,3,65,2,2
115,13.401060121476247,15.211248399743234,8818,,53.156,53.593,53.593,0.7284272611283433,6,4,3,65,2,2
116,14.022707517017265,15.28386055307969,8737,,53.437,53.656,53.718,0.7285564384380413,3,4,2,64,2,0
117,13.689562546713796,15.201159756451146,8737,,53.437,53.656,53.718,0.7285564384380413,3,4,2,64,2,0
118,13.367149281177397,15.235394115510353,8737,,53.437,53.656,53.718,0.7285564384380413,3,4,2,64,2,0
119,14.006832594749655,15.226710521061364,8737,,53.437,53.656,53.718,0.7285564384380413,3,4,2,64,2,0
120,13.38135041666135,15.291271409509504,8737,,53.187,53.656,53.656,0.7292428210479048,5,3,5,67,3,3
121,13.28404383353392,15.340262894176682,8737,,53.187,53.656,53.656,0.7292428210479048,5,3,5,67,3,3
122,13.942346558876714,14.915149122900598,8737,,53.187,53.656,53.656,0.7292428210479048,5,3,5,67,3,3
123,13.68951786623497,15.268115467219978,8737,,53.187,53.656,53.656,0.7292428210479048,5,3,5,67,3,3
124,13.288041945856897,15.341497315249674,8575,,53.531,53.656,53.906,0.729076735935436,4,2,2,65,4,2
125,13.939056772448264,15.277792347815952,8575,,53.531,53.656,53.906,0.729076735935436,4,2,2,65,4,2
126,13.662984595238173,15.278460171059725,8575,,53.531,53.656,53.906,0.729076735935436,4,2,2,65,4,2
127,13.454105706834666,15.26694839679541,8575,,53.531,53.656,53.906,0.729076735935436,4,2,2,65,4,2
128,13.838842293504728,15.168450174493247,8615,,53.187,53.687,53.812,0.729202837594903,3,4,29,40,5,3
129,13.404400696697081,15.281132047975051,8615,,53.187,53.687,53.812,0.729202837594903,3,4,29,40,5,3
130,13.22907283347842,15.291215661969778,8615,,53.187,53.687,53.812,0.729202837594903,3,4,29,40,5,3
131,13.701323646626857,15.251848161656419,8615,,53.187,53.687,53.812,0.729202837594903,3,4,29,40,5,3
132,13.351618058075648,15.317182193331629,8615,,53.531,54.093,54.093,0.729202837594903,3,2,65,0,3,3
133,13.854658844669943,15.134461058830322,8615,,53.531,54.093,54.093,0.729202837594903,3,2,65,0,3,3
134,13.629286870170468,15.348065530099277,8615,,53.531,54.093,54.093,0.729202837594903,3,2,65,0,3,3
135,13.356422496011515,15.214779829725797,8615,,53.531,54.093,54.093,0.729202837594903,3,2,65,0,3,3
136,14.08500763974008,15.116134240572022,8615,,53.468,53.906,53.906,0.7290639207261406,5,4,5,62,2,5
137,13.47017923610286,15.26261512541438,8615,,53.468,53.906,53.906,0.7290639207261406,5,4,5,62,2,5
138,14.251991192540844,15.215994137514466,8615,,53.468,53.906,53.906,0.7290639207261406,5,4,5,62,2,5
139,13.65978082102555,15.111940594273443,8615,,53.468,53.906,53.906,0.7290639207261406,5,4,5,62,2,5
140,13.418466489856899,15.147360057782594,8737,,53.843,53.875,53.875,0.7291930980358385,4,1,2,66,2,4
141,13.471390625953513,15.058174768435412,8737,,53.843,53.875,53.875,0.7291930980358385,4,1,2,66,2,4
142,14.175932403886776,15.109762994931355,8737,,53.843,53.875,53.875,0.7291930980358385,4,1,2,66,2,4
143,13.654666796887717,15.262004220944618,8737,,53.843,53.875,53.875,0.7291930980358385,4,1,2,66,2,4
144,13.394726168919718,15.119131127508409,8859,87.9,53.75,54.062,54.062,0.7291602911000422,5,4,2,66,5,3
145,13.463217970199462,15.222179074468587,8859,87.9,53.75,54.062,54.062,0.7291602911000422,5,4,2,66,5,3
146,14.2174495188315,15.171193460293347,8859,87.9,53.75,54.062,54.062,0.7291602911000422,5,4,2,66,5,3
147,13.538354276344457,15.161596298438404,8859,87.9,53.75,54.062,54.062,0.7291602911000422,5,4,2,66,5,3
148,13.987074398906193,15.105028882582578,8656,16.2,53.906,54.062,54.062,0.7294196709361818,11,3,3,4,15,50
149,13.532544798704274,15.128892864614519,8656,16.2,53.906,54.062,54.062,0.7294196709361818,11,3,3,4,15,50
150,14.07050172429988,15.279573339550607,8656,16.2,53.906,54.062,54.062,0.7294196709361818,11,3,3,4,15,50
151,13.67657282230874,15.269783020241736,8656,16.2,53.906,54.062,54.062,0.7294196709361818,11,3,3,4,15,50
152,13.242772887435118,15.12218372446018,8778,29.7,53.843,54.062,54.062,0.7292828045009065,3,4,3,4,3,66
153,13.806408289827976,15.245306610545905,8778,29.7,53.843,54.062,54.062,0.7292828045009065,3,4,3,4,3,66
154,13.562124514172266,15.088998492648514,8778,29.7,53.843,54.062,54.062,0.7292828045009065,3,4,3,4,3,66
155,13.4460833186401,15.291438654567594,8778,29.7,53.843,54.062,54.062,0.7292828045009065,3,4,3,4,3,66
156,13.971140394121488,15.123928619076981,8818,4.7,54.0,54.281,54.281,0.7292838297176502,3,3,3,4,16,52
157,13.464946805436954,15.236943822837048,8818,4.7,54.0,54.281,54.281,0.7292838297176502,3,3,3,4,16,52
158,14.158083767654128,15.158582554798604,8818,4.7,54.0,54.281,54.281,0.7292838297176502,3,3,3,4,16,52
159,13.73749336757086,15.173937738545304,8818,4.7,54.0,54.281,54.281,0.7292838297176502,3,3,3,4,16,52
160,13.44220495152632,15.216877392203457,8818,39.3,54.281,54.031,54.281,0.7292510227818538,4,5,3,5,4,64
161,14.15254214412007,15.100895763126818,8818,39.3,54.281,54.031,54.281,0.7292510227818538,4,5,3,5,4,64
162,13.898364393075843,14.966561401630717,8818,39.3,54.281,54.031,54.281,0.7292510227818538,4,5,3,5,4,64
163,13.82237850271715,15.156555801280662,8818,39.3,54.281,54.031,54.281,0.7292510227818538,4,5,3,5,4,64
164,13.497705492015884,15.217043013873571,8737,73.8,53.937,54.468,54.25,0.7293161240450747,4,3,6,5,67,2
165,13.5830745266185,15.272451862856476,8737,73.8,53.937,54.468,54.25,0.7293161240450747,4,3,6,5,67,2
166,13.322482998707235,15.300307880874907,8737,73.8,53.937,54.468,54.25,0.7293161240450747,4,3,6,5,67,2
167,14.178951496220572,15.232074375363162,8737,73.8,53.937,54.468,54.25,0.7293161240450747,4,3,6,5,67,2
168,13.843272769279007,15.250239972075976,8737,29.6,53.875,54.281,54.281,0.7293884018255009,6,37,19,19,2,0
169,13.542463232326494,15.205458197083837,8737,29.6,53.875,54.281,54.281,0.7293884018255009,6,37,19,19,2,0
170,13.400546334605984,15.344415827675018,8737,29.6,53.875,54.281,54.281,0.7293884018255009,6,37,19,19,2,0
171,14.251119552586694,15.198405623799689,8737,29.6,53.875,54.281,54.281,0.7293884018255009,6,37,19,19,2,0
172,13.997390279960888,15.263170535555078,8778,25.3,54.156,54.343,54.343,0.7290808368024105,19,51,3,5,0,1
173,13.729713804989345,15.309466799042223,8778,25.3,54.156,54.343,54.343,0.7290808368024105,19,51,3,5,0,1
174,13.444747183988,15.239435084493891,8778,25.3,54.156,54.343,54.343,0.7290808368024105,19,51,3,5,0,1
175,14.19896748421605,15.242924219738047,8778,25.3,54.156,54.343,54.343,0.7290808368024105,19,51,3,5,0,1
176,13.937852450245739,15.363863471527264,8737,21.1,54.093,54.656,54.375,0.7291787450014277,21,18,35,3,0,1
177,13.543075417903074,15.176847757651197,8737,21.1,54.093,54.656,54.375,0.7291787450014277,21,18,35,3,0,1
178,14.245117817672991,15.104430527896517,8737,21.1,54.093,54.656,54.375,0.7291787450014277,21,18,35,3,0,1
179,13.99785742176419,15.049853961692753,8737,21.1,54.093,54.656,54.375,0.7291787450014277,21,18,35,3,0,1
180,13.652044566105413,15.230912808073178,8696,5.1,54.343,54.5,54.5,0.7293673848822564,53,20,5,3,2,1
181,13.59853195780027,15.24785603926202,8696,5.1,54.343,54.5,54.5,0.7293673848822564,53,20,5,3,2,1
182,13.542069713680567,15.207277500009065,8696,5.1,54.343,54.5,54.5,0.7293673848822564,53,20,5,3,2,1
183,13.444445512912976,15.100950131592686,8696,5.1,54.343,54.5,54.5,0.7293673848822564,53,20,5,3,2,1
184,13.264760483113482,15.203363781354213,8656,7.7,54.375,54.593,54.375,0.7292705018999829,3,2,3,20,50,1
185,13.385364608265517,15.262059755693748,8656,7.7,54.375,54.593,54.375,0.7292705018999829,3,2,3,20,50,1
186,14.15039354405568,15.183385642351118,8656,7.7,54.375,54.593,54.375,0.7292705018999829,3,2,3,20,50,1
187,13.679739862429756,15.286924321723792,8656,7.7,54.375,54.593,54.375,0.7292705018999829,3,2,3,20,50,1
188,13.267571773816002,15.247966903331116,8656,,54.125,54.562,54.562,0.7294632426477863,4,5,3,2,3,64
189,13.91999734497121,15.172730133809873,8656,,54.125,54.562,54.562,0.7294632426477863,4,5,3,2,3,64
190,13.516452848916087,15.259949719308587,8656,,54.125,54.562,54.562,0.7294632426477863,4,5,3,2,3,64
191,13.460150380765638,15.224886565755563,8656,,54.125,54.562,54.562,0.7294632426477863,4,5,3,2,3,64
192,13.894681048419155,15.335158989283716,8575,,54.281,54.5,54.593,0.7294632426477863,5,7,5,4,63,4
193,13.614466513241819,15.237331298930123,8575,,54.281,54.5,54.593,0.7294632426477863,5,7,5,4,63,4
194,13.393015317510242,15.170589852283742,8575,,54.281,54.5,54.593,0.7294632426477863,5,7,5,4,63,4
195,13.973840095417685,15.13254994209351,8575,,54.281,54.5,54.593,0.7294632426477863,5,7,5,4,63,4
196,13.692646204271378,15.150533517313125,8493,,54.093,54.5,54.625,0.7293663596655128,4,5,3,3,67,0
197,14.198534887814654,15.125401187153356,8493,,54.093,54.5,54.625,0.7293663596655128,4,5,3,3,67,0
198,13.87110792156811,15.1476335795157,8493,,54.093,54.5,54.625,0.7293663596655128,4,5,3,3,67,0
199,13.620833103304939,15.169108472602467,8493,,54.093,54.5,54.625,0.7293663596655128,4,5,3,3,67,0
200,13.266144999778597,15.343910621065069,8534,,54.062,54.812,54.812,0.7295601256300598,4,12,4,4,59,1
201,13.846106106172195,15.198956370488476,8534,,54.062,54.812,54.812,0.7295601256300598,4,12,4,4,59,1
202,13.296129692854404,15.207056955255917,8534,,54.062,54.812,54.812,0.7295601256300598,4,12,4,4,59,1
203,13.685765746952413,15.205237705096321,8534,,54.062,54.812,54.812,0.7295601256300598,4,12,4,4,59,1
204,13.346647192284072,14.14514415602373,8778,7.7,54.312,54.468,54.468,0.7293663596655128,4,22,47,2,0,0
205,13.470914696813978,15.209703914564937,8778,7.7,54.312,54.468,54.468,0.7293663596655128,4,22,47,2,0,0
206,13.837746530916577,15.238881400393115,8778,7.7,54.312,54.468,54.468,0.7293663596655128,4,22,47,2,0,0
207,13.36604175230957,15.241428680443764,8778,7.7,54.312,54.468,54.468,0.7293663596655128,4,22,47,2,0,0
208,13.268830946972813,14.232839710613115,8900,95.5,54.562,54.906,54.625,0.7293653344487692,6,5,65,6,0,0
209,13.691662858262061,15.209759069349154,8900,95.5,54.562,54.906,54.625,0.7293653344487692,6,5,65,6,0,0
210,14.271582758292162,15.220632368897583,8900,95.5,54.562,54.906,54.625,0.7293653344487692,6,5,65,6,0,0
211,13.97495751840869,15.193780926920095,8900,95.5,54.562,54.906,54.625,0.7293653344487692,6,5,65,6,0,0
212,13.329723064406435,15.230027923325236,8859,99.7,54.625,54.593,54.625,0.7293653344487692,6,4,65,3,0,1
213,14.239991308599055,15.14068918714037,8859,99.7,54.625,54.593,54.625,0.7293653344487692,6,4,65,3,0,1
214,13.930445815024793,15.240764090507735,8859,99.7,54.625,54.593,54.625,0.7293653344487692,6,4,65,3,0,1
215,13.65737897619412,15.360206252769508,8859,99.7,54.625,54.593,54.625,0.7293653344487692,6,4,65,3,0,1
216,13.444574798858865,15.041919947210058,8818,99.5,54.781,54.625,54.625,0.7292997205771765,37,35,2,4,0,0
217,13.523948939024114,15.183495570896428,8818,99.5,54.781,54.625,54.625,0.7292997205771765,37,35,2,4,0,0
218,13.459502477344492,15.148454203987287,8818,99.5,54.781,54.625,54.625,0.7292997205771765,37,35,2,4,0,0
219,13.278954983362935,15.255065558566258,8818,99.5,54.781,54.625,54.625,0.7292997205771765,37,35,2,4,0,0
220,13.970535431759513,15.329722301411518,8778,52.8,54.531,54.875,54.875,0.7288834825792608,37,4,5,4,36,5
221,13.496272222669134,15.212848375817895,8778,52.8,54.531,54.875,54.875,0.7288834825792608,37,4,5,4,36,5
222,13.425940211841755,15.173059461493104,8778,52.8,54.531,54.875,54.875,0.7288834825792608,37,4,5,4,36,5
223,13.381905427350837,15.199066524616065,8778,52.8,54.531,54.875,54.875,0.7288834825792608,37,4,5,4,36,5
224,13.88948164926468,15.125292098202694,8656,,54.531,54.906,55.0,0.7291095428712323,50,18,4,3,2,2
225,13.922862178965852,15.287314344030762,8656,,54.531,54.906,55.0,0.7291095428712323,50,18,4,3,2,2
226,13.738843321715889,15.255675907672387,8656,,54.531,54.906,55.0,0.7291095428712323,50,18,4,3,2,2
227,14.166260803777396,15.218423334675824,8656,,54.531,54.906,55.0,0.7291095428712323,50,18,4,3,2,2
228,13.508878045638276,15.183660466699006,8900,0.8,54.875,54.875,54.875,0.7291428624154004,31,21,5,21,5,1
