Frame,Front_DL_FPS,Power_W,GPU_Load_%,Temp_GPU_C,Temp_CPU_C,Temp_TJ_C,RAM_MB,CPU1_Load_%,CPU2_Load_%,CPU3_Load_%,CPU4_Load_%,CPU5_Load_%,CPU6_Load_%
0,1.167233775749846,6196,15.1,50.437,51.187,51.281,0.6624489249833531,18,18,18,21,31,36
1,15.53336617052874,6930,4.4,50.656,51.375,51.562,0.7104562368291687,13,18,33,23,66,8
2,15.540963440254625,6930,4.4,50.656,51.375,51.562,0.7104562368291687,13,18,33,23,66,8
3,15.540502788121307,6930,4.4,50.656,51.375,51.562,0.7104562368291687,13,18,33,23,66,8
4,15.503681580270278,6930,4.4,50.656,51.375,51.562,0.7104562368291687,13,18,33,23,66,8
5,15.57663154689177,6930,4.4,50.656,51.375,51.562,0.7104562368291687,13,18,33,23,66,8
6,15.55577643437303,6930,4.4,50.656,51.375,51.562,0.7104562368291687,13,18,33,23,66,8
7,15.568594844993466,6930,4.4,50.656,51.375,51.562,0.7104562368291687,13,18,33,23,66,8
8,15.307511231628851,9225,2.8,51.656,51.593,51.593,0.7170929774190886,4,2,3,3,72,0
9,15.549317495977638,9225,2.8,51.656,51.593,51.593,0.7170929774190886,4,2,3,3,72,0
10,15.550297525257207,9225,2.8,51.656,51.593,51.593,0.7170929774190886,4,2,3,3,72,0
11,15.552834645377317,9225,2.8,51.656,51.593,51.593,0.7170929774190886,4,2,3,3,72,0
12,15.551392998301855,9225,2.8,51.656,51.593,51.593,0.7170929774190886,4,2,3,3,72,0
13,15.581029224385478,9225,2.8,51.656,51.593,51.593,0.7170929774190886,4,2,3,3,72,0
14,15.56339564672094,9225,2.8,51.656,51.593,51.593,0.7170929774190886,4,2,3,3,72,0
15,15.524397149995373,9225,2.8,51.656,51.593,51.593,0.7170929774190886,4,2,3,3,72,0
16,15.474681139155042,9225,2.8,51.656,51.593,51.593,0.7170929774190886,4,2,3,3,72,0
17,15.511594020665834,9428,91.8,51.687,51.656,51.812,0.7170704226507286,4,0,2,1,69,0
18,15.577730733519035,9428,91.8,51.687,51.656,51.812,0.7170704226507286,4,0,2,1,69,0
19,15.552200287735639,9428,91.8,51.687,51.656,51.812,0.7170704226507286,4,0,2,1,69,0
20,15.55871933644683,9428,91.8,51.687,51.656,51.812,0.7170704226507286,4,0,2,1,69,0
21,15.562760427295563,9428,91.8,51.687,51.656,51.812,0.7170704226507286,4,0,2,1,69,0
22,15.563973163925667,9428,91.8,51.687,51.656,51.812,0.7170704226507286,4,0,2,1,69,0
23,15.583865885919804,9428,91.8,51.687,51.656,51.812,0.7170704226507286,4,0,2,1,69,0
24,15.48690871361634,9428,91.8,51.687,51.656,51.812,0.7170704226507286,4,0,2,1,69,0
25,15.522213957137517,9575,99.5,52.093,51.75,52.093,0.717049918315856,3,2,1,1,68,1
26,15.273953496840917,9575,99.5,52.093,51.75,52.093,0.717049918315856,3,2,1,1,68,1
27,15.547530701738127,9575,99.5,52.093,51.75,52.093,0.717049918315856,3,2,1,1,68,1
28,15.56801698475974,9575,99.5,52.093,51.75,52.093,0.717049918315856,3,2,1,1,68,1
29,15.540675529471047,9575,99.5,52.093,51.75,52.093,0.717049918315856,3,2,1,1,68,1
30,15.532560835157184,9575,99.5,52.093,51.75,52.093,0.717049918315856,3,2,1,1,68,1
31,15.574549302835075,9575,99.5,52.093,51.75,52.093,0.717049918315856,3,2,1,1,68,1
32,15.505687594500575,9575,99.5,52.093,51.75,52.093,0.717049918315856,3,2,1,1,68,1
33,15.526523480591402,9616,99.4,51.968,51.718,51.968,0.7170617083084078,3,3,0,3,40,28
34,15.546839149693275,9616,99.4,51.968,51.718,51.968,0.7170617083084078,3,3,0,3,40,28
35,15.54292151652937,9616,99.4,51.968,51.718,51.968,0.7170617083084078,3,3,0,3,40,28
36,15.55479571439697,9616,99.4,51.968,51.718,51.968,0.7170617083084078,3,3,0,3,40,28
37,15.549432787128346,9616,99.4,51.968,51.718,51.968,0.7170617083084078,3,3,0,3,40,28
38,15.540790692504354,9616,99.4,51.968,51.718,51.968,0.7170617083084078,3,3,0,3,40,28
39,15.56946171578326,9616,99.4,51.968,51.718,51.968,0.7170617083084078,3,3,0,3,40,28
40,15.502822018769104,9616,99.4,51.968,51.718,51.968,0.7170617083084078,3,3,0,3,40,28
41,15.57084890985971,9616,99.4,52.437,51.812,52.437,0.7170309518060987,5,4,2,3,0,68
42,15.566052580793611,9616,99.4,52.437,51.812,52.437,0.7170309518060987,5,4,2,3,0,68
43,15.57090671497728,9616,99.4,52.437,51.812,52.437,0.7170309518060987,5,4,2,3,0,68
44,15.568999372682358,9616,99.4,52.437,51.812,52.437,0.7170309518060987,5,4,2,3,0,68
45,15.560566431828216,9616,99.4,52.437,51.812,52.437,0.7170309518060987,5,4,2,3,0,68
46,15.563280148423006,9616,99.4,52.437,51.812,52.437,0.7170309518060987,5,4,2,3,0,68
47,15.544995311637146,9616,99.4,52.437,51.812,52.437,0.7170309518060987,5,4,2,3,0,68
48,15.572525432538798,9616,99.4,52.437,51.812,52.437,0.7170309518060987,5,4,2,3,0,68
49,15.54758833385229,9413,45.7,51.812,52.187,52.187,0.7168571775680526,2,2,5,4,66,0
50,15.56154787964234,9413,45.7,51.812,52.187,52.187,0.7168571775680526,2,2,5,4,66,0
51,15.5531230068675,9413,45.7,51.812,52.187,52.187,0.7168571775680526,2,2,5,4,66,0
52,15.53745165735623,9413,45.7,51.812,52.187,52.187,0.7168571775680526,2,2,5,4,66,0
53,15.564492966056724,9413,45.7,51.812,52.187,52.187,0.7168571775680526,2,2,5,4,66,0
